Account,Quantity(GOAT)
5GbgsB4PeVtmfEGvZcYzh6GkSopdwSvr89jbeBnW5Bia,320039.00
5jGpDG49VYJjRMbVB2kU7gLFeTXCrg87gEumK4bMibWB,318755.08
6zsDhAEbvCvMjrHrfpN7KRMaVSdDTYs8iy8c6dwCNR6w,318433.04
EFFEJ63qX4RtbkGhFkJbuN3sHU67WeeUVMTBuFfagzGc,315909.16
HH6yfdAaBMtMXaZUnWzPKBctG8sGiZUykvjRQ7wXr7dn,310594.99
AasQTQH9oroodW5vi3uEoDuLyJDVfMz7GWehvisdGmDX,308049.41
5Z7UwKzHbYfoJos5MZmLPbDpgkCbAayteirQT3aU5hRU,307695.59
J5Exam8XRxkcW282CARQDD29shTGdsJz7HP13KSaRVBk,297808.25
A7LYecy3WWdKB5SQSCLDWZGXf1Gi36VhZTF9NjpbyDSW,296609.98
EhDyxGpEz9hryw6MwiBB7898WEzcoGTCAjVQMHbo6Q1M,295566.48
HA9oNhHddEoPFSAEEYtGYZoXDkjky53TQ72jtpAnu81i,295170.66
FCjHzduheXQjzbiQXFhKLNfrYzM7dJ8cjdP21zimPjLB,290145.51
E8Q78o9wEcA2iz3pedKFnU5q7QQ5bRsTcJ8mJX5dohqK,289441.43
6h2v54SHZ9LJqBG8NsZ4efqhYyGubDDzCsDFRNazvENe,286746.18
3YL4nuPVoMKzk8asp4Vb4RBt6FHFFG54uPReUzQ34FVv,286591.04
CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,286032.64
7njXtugbPsBoiPQqXXWrvnfX4aycE5oufpp9zHUToyJC,284818.01
6n6kRf1WzurwAjtKq8BY8s4u7P8z5XCjUceYo9GhRsoi,278549.31
H7XmoJRJAdfqhJs9NX1mPxqPQJu1GaVBC1dxZVmaYcAY,278261.07
2E1UKoiiZPwsp4vn6tUh5k61kG2UqYpT7oBrFaJUJXXd,275299.37
EcGfuxwkM3ujBWaty5VW7H9mjJLd7LkY3m7nJZ6Sv7Sy,275207.01
3kVEnHFmvcuSm6K8U4MyvhNGAt23xrHsUU38JPnCp6ic,273168.71
HfBMZH3tWaXGqksbQHCF6cAhPutm6Mj4Xdk4ewXTY49E,272387.41
3vfV3QJPsKrZhwyMiNQHWP5koFVpTk3h8s2P1ygHWk5C,270596.69
9pEqVHierVjLjjN3zEdqPkDGx6fWNCt7WZx7RJ4V4y5p,269253.38
2c8tLiZcR9RK4KEopwgujFeFiJcjMjugg1D9Kvmfxg8P,262775.40
CNUxMFX8LQ3oQ9tpXbwJrB1EoTDV42773ctqox95Qxv2,261755.73
Fn4xD6EMdonP6hief5Tuk7BC1AhXS7md9QKGWSNewSP6,256949.50
8AkKCMEde8WydahTW5K5Jg9YitSahgDTQDdNB4Eadw41,256501.57
5kfLusRWQarkVDEuKintMtCszbf6UPddjV9tpyovnxt7,255531.31
6TznSsqG6NpwTTkpKEEE1wKJoGjx4TDnMjVYvUFzuMHb,253144.00
CLgrwY2bMfc9DAjDt5tkxqdCm3EZcS29MsEKk2EHZsbP,252657.05
D5jx4wmxuPz18hqmgpCMLGVq3uSksCafCp5xjVe1nw8p,249101.45
AyGP56coczkpQ7BaFaeg9j1ZsjQxUBmVi11djGzC7bgp,248082.47
CAR4F9Re7kmpVW1knYDW7kgLVQLqPxLdnRZtivu17XHT,247658.38
9j98EViWcsVX8tzf3QQ84ZK2jjsaDjMJmhj1AY8xv6DZ,244457.37
94xmX5J92nZLanLvRstmxhgiS8kN8SVfFQ2zPKYB3Ynb,241829.61
3uBvkUK3MsHa5Akvv2Vmy6uZASZd2wxZ1kbTaGpXNf2v,237054.00
C9A7fWyWFqvoJcrBGA43EcD34XEUcjJCA9n6NtYQbQ8s,235871.28
AFTiL7G1J9bNVE1vFpzjiY9enrsyQwcJrwkTVJQQmr8p,232148.08
9VHb7gUSDaQ3bMzVXYoGbAhnHZ8Y2kaUd53b4BEyQSGB,231293.45
26odbpky97WHTf9xZj5sxnUGQm2oRKasz1UZGrpSg6HW,230275.62
3NYt6ja5Qmg1WBE5UDaJfAPdtmhGdZPZy4gxBZFKvZ9P,230000.00
9pAGsc5QaKC9oR2p47GqAe4fdofut8uqFgRrYeBWR3sh,229613.53
9aabxLKmxvEbKXFzWTuheB59nLoYeYxUKERkxhzS9VQd,226304.83
6zqqFBnLUsT5qXYtoJQtdszfjrk6Ugn9xH1SDL6Q5tPa,221538.11
A3GbDoX5TcavycC1YBasMGvCgUEJZq5sz3E687knfQqb,220198.38
AtrZqxc9944hDUxXgcR8okBrRGjvFTWeLFFupep61PTW,217730.29
9cSpUcnwFvNJbe2oXKNo643VApCXHuXApTUv5ZCjxKR,217581.15
5bFi2MNTzcSwPg3Hy5rb5db6Nr9g5qtNwJnTfE4Kb9iS,215902.76
iQcVAyGpPTdDdbKFfB5VbW3bQbii19eNy9aLfGJzm8H,213406.02
2ULBJWFGprcnsCRCcB4wjESWcQctP3XcADZRMkBGEDpT,212070.00
BLuRnd1HToS34W62voBkNsNAFhFjFxhVknkah47M4Kbg,208001.52
CnGeDg2ENdy5vSJhpesa7XLo4UAN9qUpXtaviXqGwP9P,207947.44
3BkejdjrqZnUxrhmzbBJjEayW9YkeA6T7uRom4FSnFn3,204073.86
7U2LkWoDnr8dLwhfYdEUmvib2TvTToRb6sJr2zpQqkhu,202143.69
12ULRb1Etfd9DeeZAjduphwU6PYaS78hMwHrYJk2HwbS,201000.00
3UPNe3XP1F7a1ioTfrNGpBhAZ8UJ45jCZPcaboNxkB5E,200617.24
8BMwvX4CNk8iEaDrhL51fvwdiPKFkPc5BnnTxbwPYxtf,200250.00
Ezi48BP2u62ooC4i8PPBSnJNjwnx2tvjxvLP3tohSeqV,200000.00
FC9KgDjDUFhgHzaqbKyJRhe8U6Eme8snyKdTFAPUwAS,200000.00
AWPmgAr6xDJUhCa2Wxna5gd14UT98hicTXdow9XkYnNX,200000.00
5GYB8ytSSGjoc2iXvhYKTVjiHWtvn7iSJon856DKWeRj,200000.00
3z7TAym9nduWzxkGX633mcKHvEm6VE8W8Q8q1fpdi6WU,200000.00
CXrsvLNQSK8ZF6cbCV1bv2WzUGA8VZkZ4NgxXYf3BxgU,200000.00
AeHHtXdzLQDSNpMBVdq4JCj9ooiKH4apWFwt7gcc1ZPb,197023.79
J5UhGwTTR8pgVPg57aRDHcqyQqyDF21vEK3Tri7HkBNM,196275.18
HYkyzabqDL6ZKzmDvRrFkTbKBSgW7EYPdAcNznX6347L,194120.66
D9cbegDswMSSeeqcZBxL8pwF99Jpw2bkW7E6DQEfTcuM,193425.76
D2cmhbqVzJeyatJ2F82UPPXX5GQL4AFNYjoTyCDAZnGt,191059.94
EZFudSEb44vgCgqC1FvssjjkFHMqdeVSEsBBRNKrhZu3,187189.66
FD9cMrd7K7xHHBFkjQutueJht8AyU3QoF5ZCU4F8xJKt,186426.57
FYarPqrXM4zCpjxWQHtNrU9nKC6zR9zqFsQ9w8W3Lq3M,184816.85
5X55Lm6eZBvpFfBtSasG9xKjNiwcRdieNZHn5634ADpF,183946.43
2ToKw3VhRGnCxHQpaCzXZhS6SqRyE45bUVL5qSwRvUD2,183323.81
HkbhjaorbsxXkSe3rCvi5FwwMoP3x4z174dvZYpJ6rtc,182629.45
59giVfnTAhUC8ihwwfP67fc7ysSp9EbB9ufbq7YXoWDr,182490.10
FGD2JcfMnSxY2mDYUf7QMqbg7mokQstfYZDGSUk3jRvC,181246.81
FqLp63SV25SfDiz5JTiKX4RNeGuFguDUT9Yo8fe2s7op,178973.12
HapXaM1ZR5rA4ys8gKCMUVCZmztFXgY3PXpRD5cq2QUV,173928.68
dLgfdURxHS3WCww5z1n2NW94cNgbGrA8zEBTTyaTLsh,172765.34
7i3CsC23LtRkHbPAKEkJ81GXHvov2eLjRYcMz4cGuJgt,172243.15
HJPa7z2oVAFbEFjFk1HBoKcpgn9jdHtyekdrmyva2qHV,171604.06
ED73XgkqU5GCqazqABr1bLiHcsJt4GY2Pb7Sme3iKX2h,171563.28
ChT3dkuk6j2cYvpBNvQ74jGbkE8DkW8CfV12vuJkCGiu,171297.07
4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS,170408.33
9TwNq9LwAjJrQaPsb1abjX3HQCBypE1SNCdsv7ewD3WS,170066.42
EAUi9FuDhP5S6NYCC4ytwyRa4LAmSeD1HoUQHyXqtNft,166283.64
4z3dLUhzFsXZg5wbjBuU7UE8wpL2Xyw61vMHetREa8cv,165445.06
2XsiwtQfU4LSEqfoG4ehuD5hLvZxhSLxbMrEhuetp7sJ,165445.06
624dFaMAXaciRPHWeFwCbc5KXQfgFHzDqsFbXZeVu4Pq,165445.06
2PNukMtEb1PonUQphS9uBEpJpxZYFTE7hhMbZvqPAGe7,165445.06
9WFtKmQ3YGMjbbdEvRY7mWKLk6d62hgFUMPyigvNRRno,165000.52
EZkH4AfPTo3SJZPpG3Fgp61yG5WHvtBby84d8Ry3voiK,164233.22
8xyyTvDCQ5KNBgSZbAgbLDB923k9RN7VWtaqFTMHM7mv,163781.83
GfgAortLpguHJLmEDioXqKmLRYv7Pw8sTH1H1eDpLzmJ,163370.35
8fKybJDRQod8wXuaX28QG2CrMk8Zq2KGnzofLKAwsF49,161272.27
BfHnmjUjTHotgT6wDXjhqzF4EsFxnDJDdyCKncZiZf85,161261.72
8s9j5qUtuE9PGA5s7QeAXEh5oc2UGr71pmJXgyiZMHkt,160625.19
Dp9Ko3o6FYGSNGjZjjTFUD4w6Xz2eTqkL15XTU4XsqqD,159894.50
Fe7SEekiKygziaEGKxsDsgLVzrCfNvVBvAYsaJBwFA8s,158412.07
84HwXvLTAm9j1BM1UAMxe1mkUCpNANkGCBeKHpfToave,157599.34
81U9xyT64K6FDu3Qts2FKmwPrndY5HZwNJUm9NFDFYJs,157068.43
3VdT5bs3nvyVWbiXuWR1iwk2dwj5Wg9FpuCDG3wRhHLC,153345.30
6aZNkfmZBCzwrrMYURfjXkT7qTPGAfJuPJsZTd4JQvR4,152506.77
J8CK1uKnL2FEy6z3JbdvLpPEPsgRcU2MT9LoFLRdX1Qh,152046.53
5dHkCnEb13ntuNuo8uGkqsURxHnAGP8YTPcfQCL9mxiT,151487.55
Ay9j9H5npJ5XxoDUPk2vaLx87z1nuhsQCLmjD33Mk1qx,151205.15
3RE87xFfb3qS4SZyoDV1bNRG6wru5VZxeHzudRbTBfoS,150668.85
BSxMjvwRXGJXpGBz1UWoWP3KkbJdgUgFYCB6QCvgAwjg,150000.00
