Account,Quantity(GOAT),Tokens Held,SOL Balance,Wallet Age
Hn7uzQSVahQGoryR4jEbWKoWu2dowVHpVEmiggQuUGRZ,1519005.54,,,
7k6fHANgwdHjUrPXsrExcTGtXNNzSq7hNipjj9JbzhwM,1515795.44,,,
14DRqqWwGckgju11crFXtiagMEsESMkW12DFkMKT2sAV,1509683.31,,,
2ekEH85LY3CJYtvpPaQ3dw58VxeHDvUBTaLkKm5AYw4V,1500334.92,,,
EyB81CfjT6zc8jMJhUU6bkEYNwsSjuNyyyDH9tgtX7ov,1500000.00,,,
9YHQK2FKKsiBJDyuvJKbp3PtBWR9UQQV3ZVUgd4xbhaG,1500000.00,,,
B4aMwdv6kP3pWfTp9P1uwk9LdF9wMRWiHMs4CngtQqr2,1497194.23,,,
2fJSGo1wyQn9M3LD9UMiHDhiPw8uxoHd6oGcpNPRtbn9,1489996.75,,,
DvX3AmL3SSDF5DpWcCgUgaEsA3oYkhMmMcf1piLHAJk1,1489996.75,,,
AGF8NeiyY4zhFLuFW4qRQyFLRvNhuDsNsHYVD8435yNG,1459140.83,,,
AMCjKgMsA5DbZWMyFAV1eWAhXc9RHyscPqYRxJhDSic3,1444312.42,,,
4PstEU8cBCGG82B9cXuAXWqndzCgvD7KAGBDTvyKJ9SV,1439957.92,,,
7rhxnLV8C77o6d8oz26AgK8x8m5ePsdeRawjqvojbjnQ,1432736.50,,,
AX13yh2aP811dbgi5gwTURiPzK6w3CrWrSoBYh8eEeji,1426327.53,,,
93KjV5HTyQYrkWsPdaRdrXuWh2zKmJTPqiLRdwtUh8Af,1405096.11,,,
8NBEbxLknGv5aRYefFrW2qFXoDZyi9fSHJNiJRvEcMBE,1379279.00,,,
BcG2pL14bjHbP99m6oJzTcMSimXzLstRzR5ANYkLEFj6,1327898.01,,,
2iemGNL91qXKyxBWZ4c99Sp3s9Deqp73a1XCiFk3ovXv,1327747.97,,,
B5hcNUxRw625xWKhZk7eahekR2PZGbWNvvbEVvoXTmh8,1304682.55,,,
CqPNfGj7WRyLaQSsUEBfTBGJaiUwVyz76iJv2saG2JXW,1304273.27,,,
F3rGiJdo1FqnuNZTHCSffbHWA1CcV7bpwkw7NWt6T5T3,1302154.72,,,
5oCEGycFKcw3wKvv1wwq5Lgqbgwm5iQQ9XYaB3NhST9Y,1299999.27,,,
C7nWs22x7fCKVGxc1wU3yyG7zwa5sED3XqgwxVqm8ULk,1277381.02,,,
